period,price,session,market
1,214.0,online1,1
2,164.0,online1,1
3,161.0,online1,1
4,187.0,online1,1
5,289.0,online1,1
6,331.0,online1,1
7,379.0,online1,1
8,213.0,online1,1
9,59.0,online1,1
10,68.0,online1,1
1,496.0,online1,2
2,501.0,online1,2
3,523.0,online1,2
4,288.0,online1,2
5,335.0,online1,2
6,303.0,online1,2
7,311.0,online1,2
8,150.0,online1,2
9,192.0,online1,2
10,101.0,online1,2
1,568.0,online2,1
2,480.0,online2,1
3,398.0,online2,1
4,107.0,online2,1
5,476.0,online2,1
6,391.0,online2,1
7,503.0,online2,1
8,490.0,online2,1
9,186.0,online2,1
10,85.0,online2,1
1,620.0,online2,2
2,485.0,online2,2
3,466.0,online2,2
4,304.0,online2,2
5,286.0,online2,2
6,177.0,online2,2
7,283.0,online2,2
8,113.0,online2,2
9,273.0,online2,2
10,159.0,online2,2
1,618.0,online3,1
2,219.0,online3,1
3,746.0,online3,1
4,498.0,online3,1
5,562.0,online3,1
6,908.0,online3,1
7,697.0,online3,1
8,772.0,online3,1
9,476.0,online3,1
10,126.0,online3,1
1,679.0,online3,2
2,633.0,online3,2
3,366.0,online3,2
4,638.0,online3,2
5,493.0,online3,2
6,300.0,online3,2
7,464.0,online3,2
8,438.0,online3,2
9,193.0,online3,2
10,14.0,online3,2
1,184.0,online4,1
2,93.0,online4,1
3,206.0,online4,1
4,206.0,online4,1
5,472.0,online4,1
6,482.0,online4,1
7,827.0,online4,1
8,195.0,online4,1
9,374.0,online4,1
10,72.0,online4,1
1,515.0,online4,2
2,814.0,online4,2
3,382.0,online4,2
4,778.0,online4,2
5,972.0,online4,2
6,519.0,online4,2
7,112.0,online4,2
8,647.0,online4,2
9,389.0,online4,2
10,81.0,online4,2
1,363.0,online5,1
2,451.0,online5,1
3,188.0,online5,1
4,496.0,online5,1
5,142.0,online5,1
6,130.0,online5,1
7,238.0,online5,1
8,99.0,online5,1
9,129.0,online5,1
10,35.0,online5,1
1,482.0,online5,2
2,609.0,online5,2
3,713.0,online5,2
4,188.0,online5,2
5,323.0,online5,2
6,217.0,online5,2
7,145.0,online5,2
8,112.0,online5,2
9,140.0,online5,2
10,43.0,online5,2
1,285.0,online6,1
2,381.0,online6,1
3,18.0,online6,1
4,374.0,online6,1
5,494.0,online6,1
6,658.0,online6,1
7,497.0,online6,1
8,-18.0,online6,1
9,399.0,online6,1
10,103.0,online6,1
1,353.0,online6,2
2,331.0,online6,2
3,757.0,online6,2
4,523.0,online6,2
5,187.0,online6,2
6,405.0,online6,2
7,273.0,online6,2
8,105.0,online6,2
9,122.0,online6,2
10,23.0,online6,2
1,567.0,online7,1
2,567.0,online7,1
3,406.0,online7,1
4,267.0,online7,1
5,356.0,online7,1
6,224.0,online7,1
7,280.0,online7,1
8,223.0,online7,1
9,61.0,online7,1
10,81.0,online7,1
1,622.0,online7,2
2,709.0,online7,2
3,387.0,online7,2
4,220.0,online7,2
5,211.0,online7,2
6,150.0,online7,2
7,213.0,online7,2
8,117.0,online7,2
9,156.0,online7,2
10,120.0,online7,2
1,184.0,online8,1
2,135.0,online8,1
3,358.0,online8,1
4,233.0,online8,1
5,138.0,online8,1
6,188.0,online8,1
7,172.0,online8,1
8,203.0,online8,1
9,173.0,online8,1
10,198.0,online8,1
1,549.0,online8,2
2,737.0,online8,2
3,401.0,online8,2
4,596.0,online8,2
5,413.0,online8,2
6,408.0,online8,2
7,236.0,online8,2
8,240.0,online8,2
9,110.0,online8,2
10,119.0,online8,2
1,247.0,online9,1
2,436.0,online9,1
3,294.0,online9,1
4,252.0,online9,1
5,456.0,online9,1
6,326.0,online9,1
7,184.0,online9,1
8,176.0,online9,1
9,36.0,online9,1
10,40.0,online9,1
1,411.0,online9,2
2,525.0,online9,2
3,940.0,online9,2
4,1121.0,online9,2
5,604.0,online9,2
6,806.0,online9,2
7,393.0,online9,2
8,388.0,online9,2
9,196.0,online9,2
10,429.0,online9,2
1,264.0,online10,1
2,513.0,online10,1
3,366.0,online10,1
4,571.0,online10,1
5,404.0,online10,1
6,665.0,online10,1
7,478.0,online10,1
8,876.0,online10,1
9,362.0,online10,1
10,179.0,online10,1
1,589.0,online10,2
2,566.0,online10,2
3,610.0,online10,2
4,724.0,online10,2
5,902.0,online10,2
6,364.0,online10,2
7,173.0,online10,2
8,294.0,online10,2
9,118.0,online10,2
10,61.0,online10,2
