period,price,expected,dividend,contracts,participants
1,100.00,240,0,12,10
2,140.00,216,8,3,10
3,170.00,192,0,18,10
4,120.00,168,60,8,10
5,120.00,144,8,5,10
6,120.00,120,60,1,10
7,90.00,96,8,3,10
8,55.00,72,8,2,10
9,40.00,48,28,4,10
10,20.00,24,8,2,10
