period,price,session,market,fv,rad
6,217,online5,2,120,1.2515151515151517
7,145,online5,2,96,1.2515151515151517
8,112,online5,2,72,1.2515151515151517
9,140,online5,2,48,1.2515151515151517
10,43,online5,2,24,1.2515151515151517
1,285,online6,1,240,1.803787878787879
2,381,online6,1,216,1.803787878787879
3,18,online6,1,192,1.803787878787879
4,374,online6,1,168,1.803787878787879
5,494,online6,1,144,1.803787878787879
6,658,online6,1,120,1.803787878787879
7,497,online6,1,96,1.803787878787879
8,0,online6,1,72,1.803787878787879
9,399,online6,1,48,1.803787878787879
10,103,online6,1,24,1.803787878787879
1,353,online6,2,240,1.3340909090909092
2,331,online6,2,216,1.3340909090909092
3,757,online6,2,192,1.3340909090909092
4,523,online6,2,168,1.3340909090909092
5,187,online6,2,144,1.3340909090909092
6,405,online6,2,120,1.3340909090909092
7,273,online6,2,96,1.3340909090909092
8,105,online6,2,72,1.3340909090909092
9,122,online6,2,48,1.3340909090909092
10,23,online6,2,24,1.3340909090909092
1,567,online7,1,240,1.2969696969696969
2,567,online7,1,216,1.2969696969696969
3,406,online7,1,192,1.2969696969696969
4,267,online7,1,168,1.2969696969696969
5,356,online7,1,144,1.2969696969696969
6,224,online7,1,120,1.2969696969696969
7,280,online7,1,96,1.2969696969696969
8,223,online7,1,72,1.2969696969696969
9,61,online7,1,48,1.2969696969696969
10,81,online7,1,24,1.2969696969696969
1,622,online7,2,240,1.2007575757575757
2,709,online7,2,216,1.2007575757575757
3,387,online7,2,192,1.2007575757575757
4,220,online7,2,168,1.2007575757575757
5,211,online7,2,144,1.2007575757575757
6,150,online7,2,120,1.2007575757575757
7,213,online7,2,96,1.2007575757575757
8,117,online7,2,72,1.2007575757575757
9,156,online7,2,48,1.2007575757575757
10,120,online7,2,24,1.2007575757575757
1,184,online8,1,240,0.7181818181818183
2,135,online8,1,216,0.7181818181818183
3,358,online8,1,192,0.7181818181818183
4,233,online8,1,168,0.7181818181818183
5,138,online8,1,144,0.7181818181818183
6,188,online8,1,120,0.7181818181818183
7,172,online8,1,96,0.7181818181818183
8,203,online8,1,72,0.7181818181818183
9,173,online8,1,48,0.7181818181818183
10,198,online8,1,24,0.7181818181818183
1,549,online8,2,240,1.8856060606060603
2,737,online8,2,216,1.8856060606060603
3,401,online8,2,192,1.8856060606060603
4,596,online8,2,168,1.8856060606060603
5,413,online8,2,144,1.8856060606060603
6,408,online8,2,120,1.8856060606060603
7,236,online8,2,96,1.8856060606060603
8,240,online8,2,72,1.8856060606060603
9,110,online8,2,48,1.8856060606060603
10,119,online8,2,24,1.8856060606060603
1,247,online9,1,240,0.8719696969696971
2,436,online9,1,216,0.8719696969696971
3,294,online9,1,192,0.8719696969696971
4,252,online9,1,168,0.8719696969696971
5,456,online9,1,144,0.8719696969696971
6,326,online9,1,120,0.8719696969696971
7,184,online9,1,96,0.8719696969696971
8,176,online9,1,72,0.8719696969696971
9,36,online9,1,48,0.8719696969696971
10,40,online9,1,24,0.8719696969696971
1,411,online9,2,240,3.403787878787879
2,525,online9,2,216,3.403787878787879
3,940,online9,2,192,3.403787878787879
4,1121,online9,2,168,3.403787878787879
5,604,online9,2,144,3.403787878787879
6,806,online9,2,120,3.403787878787879
7,393,online9,2,96,3.403787878787879
8,388,online9,2,72,3.403787878787879
9,196,online9,2,48,3.403787878787879
10,429,online9,2,24,3.403787878787879
